trial_id,total,w,h,frames_with_cottonoid,frames_with_grasper,frames_with_muscle,frames_with_string,frames_with_suction,frames_with_1_tool(s)_in_view,frames_with_2_tool(s)_in_view,frames_with_3_tool(s)_in_view,frames_with_4_tool(s)_in_view,frames_with_5_tool(s)_in_view,frames_with_at_least_1_tool_in_view,frames_with_0_tools_in_view,first_frame_appear_cottonoid,first_frame_appear_grasper,first_frame_appear_muscle,first_frame_appear_string,first_frame_appear_suction,n_in_n_outs_cottonoid,n_in_n_outs_grasper,n_in_n_outs_muscle,n_in_n_outs_string,n_in_n_outs_suction,total_in_n_outs,area_covered_cottonoid,area_covered_grasper,area_covered_muscle,area_covered_string,area_covered_suction,sd_x1_cottonoid,sd_x1_grasper,sd_x1_muscle,sd_x1_string,sd_x1_suction,sd_x2_cottonoid,sd_x2_grasper,sd_x2_muscle,sd_x2_string,sd_x2_suction,sd_y1_cottonoid,sd_y1_grasper,sd_y1_muscle,sd_y1_string,sd_y1_suction,sd_y2_cottonoid,sd_y2_grasper,sd_y2_muscle,sd_y2_string,sd_y2_suction,sd_z_x1_cottonoid,sd_z_x1_grasper,sd_z_x1_muscle,sd_z_x1_string,sd_z_x1_suction,sd_z_x2_cottonoid,sd_z_x2_grasper,sd_z_x2_muscle,sd_z_x2_string,sd_z_x2_suction,sd_z_y1_cottonoid,sd_z_y1_grasper,sd_z_y1_muscle,sd_z_y1_string,sd_z_y1_suction,sd_z_y2_cottonoid,sd_z_y2_grasper,sd_z_y2_muscle,sd_z_y2_string,sd_z_y2_suction,distance_covered_cottonoid,distance_covered_grasper,distance_covered_muscle,distance_covered_string,distance_covered_suction,tool_speed_cottonoid,tool_speed_grasper,tool_speed_muscle,tool_speed_string,tool_speed_suction,overlap_sc,got_to_sc_step,overlap_gm,got_to_gm_step
S102T1,221,1920,1080,0.357466063,0.425339367,0.131221719,0.511312217,0.57918552,0.280542986,0.235294118,0.239819005,0.122171946,0.009049774,0.886877828,0.113122172,40,25,43,28,3,15,17,17,27,19,95,0.033937607,0.038633052,0.013243103,0.02885057,0.053827273,0.094896711,0.127040796,0.088836845,0.120196525,0.108818793,0.07271416,0.119437722,0.073448226,0.100545515,0.096281988,0.082177403,0.149826615,0.095672926,0.206952746,0.203135541,0.084599399,0.18113284,0.091967217,0.176134766,0.215142909,0.759197594,1.016358365,0.710717133,0.961602475,0.870577753,0.514417956,0.844964847,0.519611127,0.711311505,0.681149083,0.444306501,0.810063801,0.51727241,1.118926219,1.098287834,0.4599202,0.984719194,0.499974957,0.957547425,1.169613154,2.913803213,12.17226286,0.536359308,6.436504451,7.919929062,0.045528175,0.158081336,0.044696609,0.074843075,0.0726599,0.221719457,1,0.040723982,1
S102T2,95,1920,1080,0.357894737,0.757894737,0.178947368,0.178947368,0.431578947,0.273684211,0.263157895,0.2,0.126315789,0,0.863157895,0.136842105,42,20,46,21,1,5,3,6,7,8,29,0.025362468,0.07539158,0.012059505,0.011649697,0.047161361,0.022851645,0.084233817,0.046702814,0.06644318,0.093551412,0.059985548,0.090223258,0.052807115,0.130044657,0.114675795,0.05592365,0.072629059,0.073054201,0.12452416,0.109600458,0.100523516,0.110301942,0.075561893,0.055366473,0.080849376,0.182818913,0.673891752,0.373634279,0.531562174,0.748434862,0.424369107,0.638286461,0.373585121,0.920003848,0.811276484,0.302360994,0.392681709,0.394980318,0.673261653,0.592574048,0.54649083,0.599650726,0.410788273,0.300996929,0.439533396,1.696453559,5.640081297,0.561770085,0.313691405,3.503521104,0.058498399,0.081740309,0.051070008,0.031369141,0.106167306,0.042105263,1,0.168421053,1
S103T1,355,1920,1080,0.208450704,0.684507042,0.126760563,0.338028169,0.507042254,0.318309859,0.323943662,0.154929577,0.101408451,0.005633803,0.904225352,0.095774648,45,56,45,18,4,17,25,14,27,37,120,0.015765172,0.052900378,0.008981866,0.015523657,0.041751723,0.066337503,0.052141716,0.053773195,0.081571639,0.083296805,0.05353189,0.043681134,0.046423157,0.094175678,0.087174407,0.124317496,0.136361371,0.085479463,0.240350339,0.14788523,0.088265924,0.127684343,0.083393975,0.179316348,0.15347054,0.530716734,0.417146859,0.430199107,0.652593661,0.666395423,0.378712559,0.30902316,0.328421666,0.666247947,0.6167173,0.672144289,0.737261601,0.462159668,1.29949615,0.799567361,0.479853071,0.694149243,0.453366977,0.974843933,0.834334548,2.39225762,12.59915509,1.063786806,8.462689516,15.32574284,0.041969432,0.057794289,0.034315703,0.090996661,0.107173027,0.107042254,1,0.101408451,1
S103T2,170,1920,1080,0.323529412,0.647058824,0.258823529,0.170588235,0.829411765,0.229411765,0.323529412,0.158823529,0.182352941,0.029411765,0.923529412,0.076470588,25,2,26,15,2,9,17,11,14,6,57,0.029385305,0.051490708,0.023449587,0.006260211,0.099551461,0.035265347,0.057402979,0.033748616,0.054834542,0.103272182,0.042723318,0.037900741,0.041450292,0.013926055,0.079224977,0.060289472,0.092461239,0.065501162,0.069033052,0.177450117,0.082592216,0.115836815,0.078568707,0.09249062,0.202676038,0.282131662,0.45923829,0.269997428,0.438690149,0.826203468,0.30224707,0.268129641,0.293241019,0.098520191,0.560478881,0.325965575,0.499907859,0.35414349,0.373239271,0.959415093,0.449008257,0.629740774,0.427134659,0.502820407,1.101837664,1.895088226,5.598832867,1.220663524,0.938595878,6.577167534,0.04119757,0.060202504,0.036989804,0.062573059,0.04871976,0.182352941,1,0.247058824,1
S104T1,172,1920,1080,0.709302326,0.447674419,0.244186047,0.430232558,0.784883721,0.052325581,0.23255814,0.354651163,0.215116279,0.034883721,0.889534884,0.110465116,19,18,28,19,8,9,12,18,16,7,62,0.046146166,0.058935145,0.01842047,0.023470518,0.053292347,0.040897235,0.041182572,0.054291608,0.056889641,0.071723715,0.04823833,0.052172255,0.075449767,0.079040023,0.061629622,0.052653437,0.111174676,0.156751496,0.098774232,0.077698536,0.060711295,0.160291391,0.110921145,0.084362149,0.097163138,0.327188177,0.329470952,0.43434654,0.455131455,0.57380779,0.341263148,0.369093793,0.533771068,0.559170418,0.436000148,0.284680015,0.601085334,0.847504378,0.534040162,0.420090727,0.330053776,0.871415749,0.603016991,0.458630404,0.528222307,3.39858712,5.279948648,2.154073768,2.466071501,4.735450282,0.030075992,0.081229979,0.089753074,0.042518474,0.036995705,0.465116279,1,0.122093023,1
S104T2,62,1920,1080,0.758064516,0.64516129,0.564516129,0.129032258,0.741935484,0.14516129,0.112903226,0.370967742,0.338709677,0,0.967741935,0.032258065,14,1,16,14,2,3,5,3,2,5,18,0.05756078,0.049849722,0.051759599,0.003440036,0.045622034,0.023466763,0.036046574,0.029344069,0.022469423,0.037746523,0.058406012,0.0267196,0.061229956,0.015732273,0.031249187,0.07968227,0.060482571,0.067837566,0.070596197,0.069570641,0.051961318,0.071696929,0.048527786,0.021853042,0.002191538,0.187740014,0.288381673,0.234759942,0.179761046,0.301981693,0.413194643,0.189028407,0.433172699,0.111298318,0.221073077,0.430816128,0.327009598,0.366775667,0.381690689,0.376145838,0.282484982,0.389776598,0.263818764,0.118802917,0.011914182,1.355028727,1.652840708,0.991788865,0.116699203,1.264496548,0.030796107,0.04722402,0.030993402,0.019449867,0.030841379,0.338709677,1,0.483870968,1
S106T1,311,1920,1080,0.189710611,0.443729904,0.215434084,0.173633441,0.681672026,0.379421222,0.22829582,0.077170418,0.102893891,0.045016077,0.832797428,0.167202572,77,24,77,75,7,20,32,15,26,37,130,0.018791897,0.025516129,0.020639088,0.006190383,0.057932482,0.05005474,0.065186192,0.043277606,0.087619484,0.123684543,0.048948591,0.037959985,0.043303183,0.079714752,0.111400319,0.064717425,0.107508028,0.055530181,0.154518916,0.102983258,0.063628443,0.112322032,0.066835945,0.114947731,0.109167946,0.400450527,0.521505953,0.346231745,0.700977945,0.989507501,0.346287905,0.268548767,0.30634934,0.563943803,0.788104058,0.349906079,0.58126096,0.300233638,0.835433545,0.556796996,0.345912697,0.610632842,0.363350114,0.624907316,0.59348582,1.365861591,6.882289018,1.820752723,2.135645986,13.86587778,0.035022092,0.064927255,0.035014475,0.076273071,0.079233587,0.118971061,1,0.167202572,1
S106T2,81,1920,1080,0.518518519,0.185185185,0.135802469,0.111111111,0.740740741,0.222222222,0.345679012,0.172839506,0.049382716,0.012345679,0.802469136,0.197530864,32,32,63,33,8,3,7,5,6,4,25,0.041929813,0.008812086,0.010094936,0.005871436,0.074629221,0.042449793,0.039009978,0.049889432,0.07191579,0.09802819,0.048977499,0.012184041,0.054717378,0.077698298,0.081021413,0.0693798,0.074516166,0.066580376,0.067966261,0.119961023,0.082658224,0.095609045,0.07212429,0.032392149,0.131877897,0.33960904,0.312089653,0.39912802,0.575344431,0.784250208,0.346492418,0.086196274,0.38709932,0.549678356,0.573187803,0.375114023,0.402884684,0.35997845,0.367471479,0.648590254,0.449367105,0.519773563,0.392099926,0.176098221,0.71694728,1.665431281,0.285953994,0.264580788,0.078078711,4.642237631,0.042703366,0.035744249,0.044096798,0.026026237,0.082897101,0.345679012,1,0.111111111,1
S107T1,386,1920,1080,0.178756477,0.471502591,0.160621762,0.041450777,0.546632124,0.29015544,0.238341969,0.103626943,0.067357513,0.010362694,0.70984456,0.29015544,19,21,26,19,22,19,36,18,12,50,135,0.018229755,0.046806443,0.015345804,0.00245971,0.040260098,0.047486703,0.115918118,0.05962429,0.108290324,0.12396348,0.04870063,0.114721432,0.05332956,0.152183401,0.117356785,0.11057036,0.201042652,0.109889369,0.194512979,0.15205364,0.091855073,0.190879076,0.090716546,0.180077538,0.171785332,0.379905588,0.92737414,0.477009338,0.86634987,0.991739067,0.344533701,0.811599348,0.377281171,1.076624888,0.830243208,0.597817992,1.086972264,0.594136093,1.051668443,0.822104598,0.499365293,1.037704094,0.493175747,0.978982099,0.933901959,1.776530505,11.67164342,2.691740813,0.372417357,14.40320594,0.03553061,0.079942763,0.061175928,0.093104339,0.089460906,0.023316062,1,0.098445596,1
S107T2,122,1920,1080,0.352459016,0.540983607,0.229508197,0.163934426,0.721311475,0.262295082,0.270491803,0.204918033,0.147540984,0,0.885245902,0.114754098,13,1,63,13,2,6,11,4,5,16,42,0.021720444,0.04839273,0.011874536,0.010383354,0.065847177,0.059750207,0.081957656,0.042123276,0.048655973,0.108173602,0.061222036,0.076144021,0.011728653,0.073763698,0.098440957,0.053135117,0.055598106,0.01820084,0.101418019,0.079704775,0.07699773,0.061983225,0.056951616,0.104936702,0.038857915,0.478016709,0.655681889,0.336996817,0.389260042,0.865416064,0.433116666,0.538682586,0.082974622,0.521842936,0.696422762,0.287284306,0.300600882,0.098406026,0.548334256,0.43093781,0.418594123,0.336968555,0.309614475,0.570482885,0.211249021,1.098026359,2.18081504,0.556981227,0.865783839,5.12228687,0.029676388,0.039651183,0.023207551,0.057718923,0.071142873,0.057377049,1,0.213114754,1
